Sample,PRDM1,BCL6,IRF4
CB,2.3045,7.6803,1.0593
CB,1.7401,7.7175,1.2868
CB,1.8189,8.1338,1.6943
CB,1.7297,8.2891,1.0386
CB,1.8603,7.7175,1.9310
CC,1.5124,7.7414,1.6605
CC,1.5050,8.1888,1.4310
CC,1.5442,7.7665,2.5541
CC,1.6319,8.2839,2.2427
CC,1.7692,7.7374,2.2301
PC,7.6332,2.9750,3.7682
PC,6.0959,3.4264,4.7014
PC,6.4095,2.6099,4.8271
PC,7.6803,3.2424,4.8068
PC,7.5432,2.1624,5.4908
